,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
189,Sevilla,Málaga,2,1,Matchweek 20,5.0,-1.0,3.0,4.0,29.0,24.0,10.0,13.0,5.25,3.8,1.67,74,78,81,74,82,78,80.0,81,79,75,79,67,71,78,81,76,81,75,80,76,79,72
190,Celta Vigo,Levante,4,3,Matchweek 20,1.0,-18.0,-3.0,-3.0,31.0,14.0,6.0,3.0,6.0,3.8,1.62,76,72,78,75,71,75,77.0,75,74,75,78,71,79,60,77,77,76,72,71,76,77,73
191,Villarreal,Betis,0,0,Matchweek 20,10.0,-15.0,6.0,-9.0,39.0,20.0,15.0,1.0,8.0,4.33,1.45,76,75,79,72,81,73,80.0,72,78,76,79,73,79,74,76,75,65,71,81,79,64,68
192,Real Sociedad,La Coruña,1,1,Matchweek 20,-5.0,3.0,-2.0,-4.0,20.0,27.0,5.0,5.0,4.2,3.3,1.95,79,76,78,74,76,76,80.0,72,76,76,78,78,82,77,77,74,66,74,71,73,79,72
193,Valencia,Rayo Vallecano,2,2,Matchweek 20,4.0,-22.0,-3.0,-11.0,23.0,15.0,3.0,1.0,5.5,4.0,1.62,78,70,73,77,80,75,82.0,73,81,80,82,72,78,59,79,70,76,76,80,71,75,71
194,Real Madrid,Sporting Gijón,5,1,Matchweek 20,34.0,-15.0,15.0,-7.0,40.0,15.0,10.0,0.0,26.0,17.0,1.05,79,76,81,74,84,68,82.0,71,93,75,87,72,86,74,87,76,83,72,87,76,84,76
195,Las Palmas,Atlético Madrid,0,3,Matchweek 20,-8.0,19.0,2.0,4.0,18.0,44.0,8.0,12.0,1.62,3.6,6.5,75,81,69,85,70,82,71.0,83,71,83,72,76,76,66,73,80,69,81,67,79,74,78
196,Getafe,Espanyol,3,1,Matchweek 20,-6.0,-13.0,2.0,-2.0,23.0,21.0,9.0,4.0,3.5,3.2,2.2,77,70,74,66,76,73,74.0,74,77,75,72,73,78,78,73,74,76,64,74,76,76,75
197,Barcelona,Athletic Club,6,0,Matchweek 20,31.0,5.0,10.0,1.0,45.0,28.0,11.0,7.0,19.0,8.0,1.14,83,79,85,76,84,83,86.0,72,88,80,90,80,94,80,88,74,83,77,84,80,79,79
198,Eibar,Granada,5,1,Matchweek 20,7.0,-16.0,5.0,-8.0,30.0,17.0,10.0,6.0,4.5,3.5,1.83,71,77,74,73,73,63,75.0,72,71,74,74,70,72,73,72,76,73,75,72,71,73,73
199,Sporting Gijón,Real Sociedad,5,1,Matchweek 21,-19.0,-5.0,-9.0,0.0,15.0,21.0,0.0,5.0,2.45,3.2,3.1,76,79,74,79,71,76,75.0,80,76,76,72,78,72,82,71,66,63,72,76,66,66,79
200,Málaga,Barcelona,1,2,Matchweek 21,-2.0,37.0,2.0,14.0,24.0,48.0,10.0,13.0,1.33,5.5,8.5,78,83,78,86,81,83,75.0,88,73,90,67,94,76,83,76,73,75,79,72,79,75,80
201,Espanyol,Villarreal,2,2,Matchweek 21,-15.0,10.0,-5.0,4.0,21.0,40.0,4.0,13.0,2.55,3.2,2.9,70,76,71,79,74,81,75.0,78,70,79,78,77,76,79,64,76,64,65,76,81,75,73
202,Granada,Getafe,3,2,Matchweek 21,-20.0,-4.0,-10.0,4.0,17.0,26.0,3.0,11.0,2.88,3.1,2.63,77,77,75,74,74,76,74.0,74,75,77,70,72,73,78,76,73,71,76,73,74,76,76
203,Rayo Vallecano,Celta Vigo,3,0,Matchweek 21,-22.0,2.0,-3.0,-4.0,16.0,34.0,2.0,6.0,2.63,3.4,2.7,70,76,77,78,75,77,73.0,71,80,82,59,70,70,73,76,71,71,69,72,69,71,64
204,Athletic Club,Eibar,5,2,Matchweek 21,-1.0,11.0,-7.0,11.0,28.0,33.0,7.0,12.0,5.5,3.75,1.67,74,71,76,74,83,73,80.0,71,80,74,80,72,78,72,80,72,73,76,82,70,79,73
205,Atlético Madrid,Sevilla,0,0,Matchweek 21,22.0,6.0,8.0,4.0,47.0,32.0,12.0,10.0,6.0,3.5,1.67,81,74,85,81,82,82,83.0,80,83,79,76,73,66,81,80,81,81,80,81,79,79,80
206,La Coruña,Valencia,1,1,Matchweek 21,3.0,4.0,-6.0,-3.0,28.0,24.0,5.0,3.0,3.3,3.3,2.25,76,78,74,82,76,81,72.0,82,76,78,75,80,78,76,77,80,75,75,75,80,73,81
