,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Djibril Sow,Filip Kostić,Sebastian Rode,Almamy Touré,Rafael Borré,Mario Götze,Jesper Lindstrøm,Tuta,Ansgar Knauff,Bayern Munich,Manuel Neuer,Dayot Upamecano,Benjamin Pavard,Joshua Kimmich,Serge Gnabry,Sadio Mané,Marcel Sabitzer,Alphonso Davies,Lucas Hernández,Thomas Müller,Jamal Musiala,1,6,Matchweek 1
1,Wolfsburg,Koen Casteels,Sebastiaan Bornauw,Maxence Lacroix,Micky van de Ven,Lukas Nmecha,Josip Brekalo,Ridle Baku,Maximilian Arnold,Mattias Svanberg,Omar Marmoush,Patrick Wimmer,Werder Bremen,Jiří Pavlenka,Anthony Jung,Amos Pieper,Jens Stage,Marvin Ducksch,Mitchell Weiser,Leonardo Bittencourt,Niclas Füllkrug,Miloš Veljković,Marco Friedl,Christian Groß,2,2,Matchweek 1
2,Augsburg,Rafał Gikiewicz,Jeffrey Gouweleeuw,Carlos Gruezo,Ermedin Demirović,Arne Maier,Elvis Rexhbeçaj,Ohis Felix Uduokhai,Daniel Caligiuri,Iago,Maximilian Bauer,André Hahn,Freiburg,Mark Flekken,Philipp Lienhart,Maximilian Eggestein,Roland Sallai,Kiliann Sildillia,Nicolas Höfler,Matthias Ginter,Christian Günter,Vincenzo Grifo,Michael Gregoritsch,Ritsu Doan,0,4,Matchweek 1
3,Union Berlin,Frederik Rønnow,Paul Jaeckel,Diogo Leite,Julian Ryerson,Rani Khedira,Janik Haberer,Genki Haraguchi,Sheraldo Becker,Christopher Trimmel,Robin Knoche,Jordan Pefok,Hertha BSC,Oliver Christensen,Filip Uremović,Davie Selke,Suat Serdar,Myziane Maolida,Dodi Lukebakio,Jonjoe Kenny,Marc-Oliver Kempf,Marvin Plattenhardt,Kevin-Prince Boateng,Ivan Šunjić,3,1,Matchweek 1
4,Gladbach,Yann Sommer,Ko Itakura,Christoph Kramer,Marcus Thuram,Alassane Pléa,Manu Koné,Jonas Hofmann,Ramy Bensebaini,Joe Scally,Nico Elvedi,Florian Neuhaus,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ozan Kabak,Grischa Prömel,Christoph Baumgartner,Diadie Samassékou,Kevin Vogt,Andrej Kramarić,Robert Skov,Georginio Rutter,Stefan Posch,3,1,Matchweek 1
5,Bochum,Manuel Riemann,Cristian Gamboa,Erhan Mašović,Kevin Stöger,Anthony Losilla,Simon Zoller,Takuma Asano,Kostas Stafylidis,Gerrit Holtmann,Ivan Ordets,Philipp Hofmann,Mainz 05,Robin Zentner,Aarón Martín,Maxim Leitsch,Anton Stach,Lee Jae-sung,Karim Onisiwo,Angelo Fulgini,Stefan Bell,Edimilson Fernandes,Dominik Kohr,Alexander Hack,1,2,Matchweek 1
6,Dortmund,Gregor Kobel,Nico Schlotterbeck,Mahmoud Dahoud,Marco Reus,Raphaël Guerreiro,Mats Hummels,Youssoufa Moukoko,Donyell Malen,Jude Bellingham,Thomas Meunier,Karim Adeyemi,Leverkusen,Lukáš Hrádecký,Piero Hincapié,Jonathan Tah,Robert Andrich,Kerem Demirbay,Edmond Tapsoba,Patrik Schick,Moussa Diaby,Exequiel Palacios,Jeremie Frimpong,Karim Bellarabi,1,0,Matchweek 1
7,Stuttgart,Florian Müller,Waldemar Anton,Wataru Endo,Josha Vagnoman,Konstantinos Mavropanos,Sasa Kalajdzic,Tiago Tomás,Silas Katompa,Hiroki Ito,Chris Führich,Naouirou Ahamada,RB Leipzig,Péter Gulácsi,Willi Orban,Dani Olmo,Lukas Klostermann,Christopher Nkunku,André Silva,David Raum,Marcel Halstenberg,Hugo Novoa,Benjamin Henrichs,Kevin Kampl,1,1,Matchweek 1
8,Köln,Marvin Schwäbe,Benno Schmitz,Dejan Ljubicic,Florian Kainz,Jonas Hector,Luca Kilian,Kingsley Schindler,Julian Chabot,Ellyes Skhiri,Jan Thielmann,Florian Dietz,Schalke 04,Alexander Schwolow,Thomas Ouwejan,Maya Yoshida,Tom Krauß,Rodrigo Zalazar,Dominick Drexler,Cédric Brunner,Tobias Mohr,Alex Král,Marcin Kamiński,Sebastian Polter,3,1,Matchweek 1
9,Freiburg,Mark Flekken,Philipp Lienhart,Maximilian Eggestein,Roland Sallai,Kiliann Sildillia,Nicolas Höfler,Matthias Ginter,Christian Günter,Vincenzo Grifo,Michael Gregoritsch,Ritsu Doan,Dortmund,Gregor Kobel,Nico Schlotterbeck,Mahmoud Dahoud,Thorgan Hazard,Marco Reus,Raphaël Guerreiro,Mats Hummels,Anthony Modeste,Donyell Malen,Jude Bellingham,Thomas Meunier,1,3,Matchweek 2
