,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
157,157,157,Elche,Przemysław Tytoń,Enzo Roco,David Lombán,Domingo Cisma,Adrián González,Garry Rodrigues,Víctor Rodríguez,Fayçal Fajr,Edu Albácar,Jonathas,Mario Pašalić,Málaga,Carlos Kameni,Vitorino Antunes,Ignacio Camacho,Roque Santa Cruz,Ricardo Horta,Marcos Angeleri,Duda,Arthur Boka,Miguel Torres,Samu Castillejo,Sergi Darder,1,2,Matchweek 16,16,-18.0,4.0,-6.0,-1.0,10.0,27.0,2.0,9.0,2.5,3.1,3.1
158,158,158,Athletic Club,Gorka Iraizoz,Mikel San José,Iker Muniain,Markel Susaeta,Xabier Etxeita,Mikel Rico,Carlos Gurpegui,Óscar de Marcos,Aritz Aduriz,Mikel Balenziaga,Unai López,Atlético Madrid,Miguel Ángel Moyá,Diego Godín,Guilherme Siqueira,Tiago Mendes,Antoine Griezmann,Raúl García,Saúl Ñíguez,Arda Turan,Gabi,Juanfran,José María Giménez,1,4,Matchweek 16,16,-3.0,14.0,2.0,5.0,19.0,32.0,8.0,9.0,2.25,3.1,3.6
159,159,159,Atlético Madrid,Miguel Ángel Moyá,Diego Godín,Guilherme Siqueira,Tiago Mendes,Koke,Antoine Griezmann,Mario Mandžukić,Arda Turan,Gabi,Juanfran,José María Giménez,Levante,Diego Mariño,Iván López,Loukas Vyntra,Rafael Martins,José Luis Morales,Juanfran,Nikolaos Karabelas,Víctor Casadesús,Andreas Ivanschitz,Mohamed Sissoko,Papakouli Diop,3,1,Matchweek 17,17,17.0,-18.0,6.0,-1.0,35.0,15.0,12.0,6.0,17.0,6.5,1.2
160,160,160,Sevilla,Beto,Fernando Navarro,Grzegorz Krychowiak,Daniel Carriço,Carlos Bacca,José Antonio Reyes,Denis Suárez,Vitolo,Nicolás Pareja,Aleix Vidal,Stéphane Mbia,Celta Vigo,Sergio Álvarez,Hugo Mallo,Andreu Fontàs,Nemanja Radoja,Santi Mina,Pablo Hernández,Charles,Fabián Orellana,Carles Planas,Gustavo Cabral,Michael Krohn-Dehli,1,0,Matchweek 17,17,7.0,-1.0,4.0,-6.0,30.0,20.0,7.0,0.0,5.5,3.8,1.67
161,161,161,Elche,Przemysław Tytoń,Damián Suárez,David Lombán,Domingo Cisma,Adrián González,Garry Rodrigues,Víctor Rodríguez,Sergio Pelegrín,Fayçal Fajr,Jonathas,Mario Pašalić,Villarreal,Sergio Asenjo,Mario Gaspar,Víctor Ruiz,Luciano Vietto,Ikechukwu Uche,Jaume Costa,Manu Trigueros,Denis Cheryshev,Moi Gómez,Gabriel Paulista,Bruno Soriano,2,2,Matchweek 17,17,-19.0,13.0,-7.0,10.0,10.0,30.0,1.0,15.0,1.75,3.6,5.0
162,162,162,La Coruña,Fabricio,Juanfran,Álex Bergantiños,Pablo Insua,José Rodríguez,Juan Domínguez,Luisinho,Toché,Ivan Cavaleiro,Alberto Lopo,Luis Fariña,Athletic Club,Gorka Iraizoz,Aymeric Laporte,Mikel San José,Ander Iturraspe,Ibai Gómez,Markel Susaeta,Mikel Rico,Óscar de Marcos,Borja Viguera,Mikel Balenziaga,Unai López,1,0,Matchweek 17,17,-14.0,-6.0,-5.0,-3.0,13.0,19.0,4.0,7.0,2.4,3.1,3.2
163,163,163,Málaga,Carlos Kameni,Nordin Amrabat,Vitorino Antunes,Samu García,Recio,Marcos Angeleri,Roberto Rosales,Miguel Torres,Juanmi,Samu Castillejo,Sergi Darder,Almería,Julián Cuesta,Michel,Fran Vélez,Ximo Navarro,Verza,Thievy Bifouma,Tomer Hemed,Ángel Trujillo,Corona,Édgar Méndez,Thomas Partey,1,2,Matchweek 17,17,5.0,-11.0,2.0,-6.0,30.0,13.0,9.0,4.0,6.5,4.1,1.53
164,164,164,Getafe,Vicente Guaita,Alexis,Naldo,Sammir,Mehdi Lacen,Álvaro Vázquez,Pablo Sarabia,Karim Yoda,Diego Castro,Sergio Escudero,Juan Valera Espín,Rayo Vallecano,Toño,Tito,Raúl Baena,Roberto Trashorras,Gaël Kakuta,Emiliano Insúa,Abdoulaye Ba,Léo Baptistão,Jozabed,Alberto Bueno,Álex Moreno,1,2,Matchweek 17,17,-8.0,-14.0,-1.0,-5.0,17.0,17.0,3.0,6.0,3.2,3.4,2.25
165,165,165,Valencia,Diego Alves,Shkodran Mustafi,Lucas Orbán,Álvaro Negredo,Enzo Pérez,Paco Alcácer,Daniel Parejo,Pablo Piatti,Antonio Barragán,André Gomes,Nicolás Otamendi,Real Madrid,Iker Casillas,Dani Carvajal,Pepe,Sergio Ramos,Cristiano Ronaldo,Toni Kroos,Karim Benzema,James Rodríguez,Gareth Bale,Marcelo,Isco,2,1,Matchweek 17,17,16.0,43.0,3.0,8.0,31.0,42.0,7.0,15.0,1.57,4.33,5.5
166,166,166,Espanyol,Kiko Casilla,Víctor Sánchez,Sergio García,Felipe Caicedo,José Cañas,Javi López,Juan Rafael Fuentes,Diego Colotto,Álvaro González,Anaitz Arbilla,Paco Montañés,Eibar,Xabi Irureta,Eneko Bóveda,Borja Ekiza,Ander Capa,Jon Errasti,Dani García,Lillo,Federico Piovaccari,Manu del Moral,Saúl Berjón,Raúl Navas,1,2,Matchweek 17,17,-4.0,-3.0,0.0,3.0,20.0,20.0,9.0,7.0,4.75,3.4,1.85
