,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
104,Las Palmas,Raúl Lizoain,Vicente Gómez,David García,Kevin-Prince Boateng,Sergio Araujo,Michel,Roque Mesa,Pedro Bigas,Jonathan Viera,Dani Castellano,Tana,Eibar,Asier Riesgo,Iván Ramis,Takashi Inui,Sergi Enrich,Dani García,Fran Rico,Kiké,Anaitz Arbilla,Antonio Luna,Florian Lejeune,Pedro León,1,0,Matchweek 11
105,Real Madrid,Keylor Navas,Dani Carvajal,Raphaël Varane,Nacho,Cristiano Ronaldo,Toni Kroos,Gareth Bale,Marcelo,Mateo Kovačić,Álvaro Morata,Isco,Leganés,Jon Ander Serantes,Unai Bustinza,Martín Mantovani,Alberto Martín,Darwin Machís,Gabriel,Alexander,Diego Rico,Pablo Insua,Unai López,Rubén Pérez,3,0,Matchweek 11
106,Espanyol,Diego López,Víctor Sánchez,Gerard Moreno,Léo Baptistão,Aarón Martín,José Manuel Jurado,David López,Hernán Pérez,Javi Fuego,Pablo Piatti,Diego Reyes,Athletic Club,Kepa Arrizabalaga,Eneko Bóveda,Javier Eraso,Iñaki Williams,Mikel Vesga,Xabier Etxeita,Mikel Rico,Sabin Merino,Aritz Aduriz,Mikel Balenziaga,Yeray Álvarez,0,0,Matchweek 11
107,Celta Vigo,Rubén Blanco,Andreu Fontàs,David Costas,Nemanja Radoja,Pablo Hernández,John Guidetti,Iago Aspas,Pione Sisto,Daniel Wass,Jonny Castro,Facundo Roncaglia,Valencia,Diego Alves,João Cancelo,Eliaquim Mangala,Mario Suárez,Daniel Parejo,Federico Cartabia,Nani,Rodrigo,Álvaro Medrán,Martín Montoya,Ezequiel Garay,2,1,Matchweek 11
108,Villarreal,Sergio Asenjo,Mario Gaspar,Mateo Musacchio,Víctor Ruiz,Jaume Costa,Manu Trigueros,Cédric Bakambu,Nicola Sansone,Samu Castillejo,Roberto Soriano,Bruno Soriano,Betis,Antonio Adán,Álex Martínez,Petros,Felipe Gutiérrez,Jonas Martin,Antonio Sanabria,Cristiano Piccini,Álvaro Cejudo,Joaquín,Germán Pezzella,Aïssa Mandi,2,0,Matchweek 11
109,Sevilla,Sergio Rico,Mariano,Daniel Carriço,Luciano Vietto,Samir Nasri,Steven Nzonzi,Pablo Sarabia,Sergio Escudero,Vitolo,Franco Vázquez,Adil Rami,Barcelona,Marc-André ter Stegen,Ivan Rakitić,Sergio Busquets,Denis Suárez,Luis Suárez,Lionel Messi,Neymar,Javier Mascherano,Lucas Digne,Sergi Roberto,Samuel Umtiti,1,2,Matchweek 11
110,Betis,Antonio Adán,Álex Martínez,Bruno González,Petros,Dani Ceballos,Cristiano Piccini,Ryan Donk,Joaquín,Germán Pezzella,Aïssa Mandi,Rubén Castro,Las Palmas,Javi Varas,Mauricio Lemos,Kevin-Prince Boateng,Sergio Araujo,Momo,Michel,Roque Mesa,Pedro Bigas,Jonathan Viera,Dani Castellano,Tana,2,0,Matchweek 12
111,La Coruña,Przemysław Tytoń,Juanfran,Pedro Mosquera,Raúl Albentosa,Emre Çolak,Florin Andone,Sidnei,Luisinho,Guilherme,Bruno Gama,Ryan Babel,Sevilla,Sergio Rico,Mariano,Matías Kranevitter,Daniel Carriço,Luciano Vietto,Steven Nzonzi,Pablo Sarabia,Sergio Escudero,Ganso,Nicolás Pareja,Gabriel Mercado,2,3,Matchweek 12
112,Barcelona,Marc-André ter Stegen,Gerard Piqué,Sergio Busquets,Denis Suárez,Arda Turan,Neymar,Rafinha,Javier Mascherano,Paco Alcácer,Lucas Digne,Sergi Roberto,Málaga,Carlos Kameni,Mikel Villanueva,Diego Llorente,Juankar,Juanpi,Federico Ricca,Roberto Rosales,Sandro Ramírez,Miguel Torres,Pablo Fornals,Javier Ontiveros,0,0,Matchweek 12
113,Eibar,Asier Riesgo,Iván Ramis,Takashi Inui,Sergi Enrich,Dani García,Fran Rico,Anaitz Arbilla,Antonio Luna,Florian Lejeune,Pedro León,Adrián González,Celta Vigo,Rubén Blanco,Hugo Mallo,Andreu Fontàs,Nemanja Radoja,Theo Bongonda,Daniel Wass,Sergi Gómez,Carles Planas,Josep Señé,Facundo Roncaglia,Giuseppe Rossi,1,0,Matchweek 12
