,HomePlayer_Overall_sd,HomePlayer_Overall_mean_ln,AwayPlayer_Overall_sd,AwayPlayer_Overall_mean_ln,home_GD_form,home_Points_form,away_GD_form,away_Points_form,B365A,B365D,B365H
1335,3.7172815091383407,4.371867285077557,6.925578413651554,4.3806587443477785,2.0,7.0,1.0,8.0,3.5,3.6,2.15
1336,2.2033033051637383,4.298727527322466,1.6348477827391985,4.376137050107513,-6.0,7.0,4.0,8.0,2.05,3.5,4.0
1337,5.830951894845301,4.327974409569466,3.5342480234003237,4.31770066748738,-2.0,7.0,-1.0,7.0,5.5,4.0,1.7
1338,3.868285972318537,4.286683005649123,5.467257913333619,4.275322964096504,4.0,8.0,2.0,10.0,3.3,3.5,2.3
1339,4.874796033029112,4.290919695633945,4.027180380636287,4.371698778836709,1.0,6.0,3.0,8.0,2.1,3.5,3.75
1340,2.659459958850156,4.37466594612319,7.691790192382808,4.387367707410569,1.0,8.0,7.0,13.0,2.3,3.4,3.4
1341,1.848832555474351,4.244271905245885,2.696799449852968,4.269675402338908,-11.0,1.0,-1.0,5.0,3.0,3.4,2.5
1342,4.590504032535781,4.398596884562081,1.555050423035156,4.286508465441892,1.0,8.0,-3.0,4.0,11.0,6.0,1.3
1343,2.195035721390843,4.333943954430087,3.797128101365797,4.251059834634552,10.0,12.0,-6.0,1.0,8.0,4.75,1.44
1344,3.255764119219941,4.303190375458505,2.460598596794173,4.308475694444558,4.0,10.0,-11.0,0.0,5.5,3.75,1.75
1345,2.4420557658735733,4.306019279915969,2.449489742783178,4.406317937476794,-3.0,3.0,7.0,12.0,1.5,4.75,7.0
1346,1.2135597524338355,4.297779714506035,2.119176512447486,4.288827062875243,0.0,7.0,-8.0,5.0,3.8,3.5,2.1
1347,2.821991559809555,4.408400237660091,4.590504032535781,4.387359252201429,6.0,10.0,0.0,8.0,4.33,3.75,1.91
1348,2.932575659723036,4.3167999847650576,5.852738286865854,4.349285630632303,-13.0,0.0,-4.0,4.0,2.1,3.6,3.75
1349,5.1043653331776175,4.279422368195721,2.14899553703162,4.378278703273145,1.0,8.0,0.0,8.0,2.0,3.75,3.8
1350,3.847076812334269,4.368352054007371,2.1616492020508957,4.240230835921265,3.0,8.0,-8.0,2.0,14.0,6.5,1.25
1351,7.678778311921523,4.391871478991392,2.248231628312673,4.308544694834794,6.0,11.0,-2.0,4.0,21.0,8.5,1.17
1352,2.427119504867672,4.367861266195051,3.22490309931942,4.316648606620719,3.0,7.0,0.0,5.0,5.25,3.8,1.75
1353,3.4483197489370228,4.276876662690103,2.1105794120443453,4.335164229005736,0.0,6.0,10.0,12.0,2.05,3.6,3.8
1354,3.042128441493793,4.256731356162718,3.9611752158809,4.290362192535984,-3.0,4.0,4.0,8.0,3.3,3.5,2.3
1355,3.3493554332411217,4.320226082406204,2.9787123514578027,4.309462454684592,-1.0,7.0,6.0,12.0,3.25,3.4,2.38
1356,2.442055765873573,4.306019279915969,2.792848008753788,4.316868247648617,-8.0,1.0,-10.0,3.0,3.4,3.25,2.38
1357,1.834021909257456,4.250776191726981,2.5866791627314534,4.367801477247872,-6.0,3.0,3.0,7.0,1.83,3.75,4.75
1358,5.663278844691233,4.347108630100439,4.526688534780042,4.287440049144926,-3.0,5.0,-4.0,5.0,5.0,3.9,1.75
