,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
10,10,Lazio,Federico Marchetti,Stefan de Vrij,Jordan Lukaku,Dušan Basta,Felipe Anderson,Bastos,Marco Parolo,Ciro Immobile,Senad Lulić,Lucas Biglia,Ștefan Radu,Juventus,Gianluigi Buffon,Giorgio Chiellini,Medhi Benatia,Sami Khedira,Paulo Dybala,Alex Sandro,Andrea Barzagli,Mario Mandžukić,Mario Lemina,Kwadwo Asamoah,Dani Alves,0,1,Matchweek 2,2,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
11,11,Napoli,Pepe Reina,Elseid Hysaj,Allan,José Callejón,Jorginho,Dries Mertens,Marek Hamšík,Kalidou Koulibaly,Faouzi Ghoulam,Raúl Albiol,Arkadiusz Milik,Milan,Gianluigi Donnarumma,Mattia De Sciglio,Giacomo Bonaventura,Suso,M'Baye Niang,Alessio Romagnoli,Gustavo Gómez,Riccardo Montolivo,Ignazio Abate,Juraj Kucka,Carlos Bacca,4,2,Matchweek 2,2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0
12,12,Inter,Samir Handanović,Geoffrey Kondogbia,Mauro Icardi,Gary Medel,Éver Banega,Davide Santon,Éder,Jeison Murillo,Miranda,Danilo D'Ambrosio,Ivan Perišić,Palermo,Josip Posavec,Roberto Vitiello,Andrea Rispoli,Siniša Anđelković,Edoardo Goldaniga,Oscar Hiljemark,Alessandro Gazzi,Ivaylo Chochev,Haitam Aleesami,Robin Quaison,Ilija Nestorovski,1,1,Matchweek 2,2,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0
13,13,Udinese,Orestis Karnezis,Samir Santos,Danilo Larangeira,Seko Fofana,Emmanuel Agyemang-Badu,Duván Zapata,Rodrigo De Paul,Emil Hallfreðsson,Silvan Widmer,Felipe dal Belo,Lucas Evangelista,Empoli,Alberto Pelagotti,Vincent Laurini,Federico Dimarco,Giuseppe Bellusci,Assane Dioussé,Riccardo Saponara,Daniele Croce,Alberto Gilardino,Federico Barba,Manuel Pucciarelli,Rade Krunić,2,0,Matchweek 2,2,-4.0,-1.0,-4.0,-1.0,0.0,0.0,0.0,0.0
14,14,Crotone,Marco Festa,Claiton,Marcus Rohdén,Raffaele Palladino,Gian Marco Ferrari,Federico Ceccherini,Aniello Salzano,Aleandro Rosi,Aleksandar Tonev,Bruno Martella,Simeon Nwankwo,Genoa,Eugenio Lamanna,Armando Izzo,Nicolás Burdisso,Olivier Ntcham,Lucas Ocampos,Leonardo Pavoletti,Darko Lazović,Ezequiel Muñoz,Miguel Veloso,Tomás Rincón,Diego Laxalt,1,3,Matchweek 2,2,-1.0,2.0,-1.0,2.0,0.0,3.0,0.0,3.0
15,15,Sampdoria,Emiliano Viviano,Jacopo Sala,Édgar Barreto,Luis Muriel,Ricky Álvarez,Karol Linetty,Vasco Regini,Daniel Pavlović,Matías Silvestre,Fabio Quagliarella,Lucas Torreira,Atalanta,Marco Sportiello,Andrea Masiello,Ervin Zukanović,Marco D'Alessandro,Papu Gómez,Carlos Carmona,Franck Kessié,Jasmin Kurtić,Leonardo Spinazzola,Alberto Paloschi,Cristian Raimondi,2,1,Matchweek 2,2,1.0,-1.0,1.0,-1.0,3.0,0.0,3.0,0.0
16,16,Sassuolo,Andrea Consigli,Francesco Magnanelli,Davide Biondini,Grégoire Defrel,Federico Peluso,Francesco Acerbi,Matteo Politano,Marcello Gazzola,Domenico Berardi,Paolo Cannavaro,Alfred Duncan,Pescara,Albano Bizzarri,Cristiano Biraghi,Bryan Cristante,Valerio Verre,Ledian Memushaj,Ahmad Benali,Francesco Zampano,Hugo Campagnaro,Gastón Brugman,Gianluca Caprari,Norbert Gyömbér,0,3,Matchweek 2,2,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0
17,17,Torino,Daniele Padelli,Cristian Molinaro,Leandro Castán,Cesare Bovo,Daniele Baselli,Andrea Belotti,Adem Ljajić,Iago Falque,Marco Benassi,Giuseppe Vives,Lorenzo De Silvestri,Bologna,Antonio Mirante,Marios Oikonomou,Emil Krafth,Erick Pulgar,Saphir Taïder,Simone Verdi,Mattia Destro,Luca Rizzo,Adam Masina,Daniele Gastaldello,Blerim Džemaili,5,1,Matchweek 2,2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0
18,18,Fiorentina,Ciprian Tătărușanu,Carlos Sánchez,Matías Vecino,Nikola Kalinić,Davide Astori,Cristian Tello,Borja Valero,Marcos Alonso,Hrvoje Milić,Nenad Tomović,Josip Iličić,Chievo,Stefano Sorrentino,Dario Dainelli,Ivan Radovanović,Boštjan Cesar,Massimo Gobbi,Lucas Castro,Valter Birsa,Fabrizio Cacciatore,Roberto Inglese,Përparim Hetemaj,Riccardo Meggiorini,1,0,Matchweek 2,2,-1.0,2.0,-1.0,2.0,0.0,3.0,0.0,3.0
19,19,Cagliari,Marco Storari,Bruno Alves,Mauricio Isla,Davide Di Gennaro,Nicolò Barella,Simone Padoin,Artur Ioniță,Marco Borriello,Marco Sau,Nicola Murru,Bartosz Salamon,Roma,Wojciech Szczęsny,Radja Nainggolan,Kevin Strootman,Diego Perotti,Mohamed Salah,Bruno Peres,Thomas Vermaelen,Daniele De Rossi,Alessandro Florenzi,Kostas Manolas,Stephan El Shaarawy,2,2,Matchweek 2,2,-2.0,4.0,-2.0,4.0,0.0,3.0,0.0,3.0
