,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
30,30,30,Sassuolo,Andrea Consigli,Rogério,Andrea Pinamonti,Domenico Berardi,Gian Marco Ferrari,Davide Frattesi,Jeremy Toljan,Maxime Lopez,Martin Erlic,Kristian Thorstvedt,Giorgos Kyriakopoulos,Milan,Mike Maignan,Ismaël Bennacer,Olivier Giroud,Brahim Díaz,Rafael Leão,Theo Hernández,Fikayo Tomori,Simon Kjær,Alessandro Florenzi,Tommaso Pobega,Alexis Saelemaekers,0,0,Matchweek 4,4,-2.0,4.0,-2.0,4.0,4.0,7.0,4.0,7.0,1.57,4.33,5.25
31,31,31,Inter,Samir Handanović,Denzel Dumfries,Stefan de Vrij,Edin Džeko,Joaquín Correa,Hakan Çalhanoğlu,Nicolò Barella,Federico Dimarco,Matteo Darmian,Milan Škriniar,Marcelo Brozović,Cremonese,Ionuț Radu,Emanuel Aiwum,Charles Pickel,Santiago Ascacíbar,Matteo Bianchetti,Paolo Ghiglione,Gonzalo Escalante,Giacomo Quagliata,Luka Lochoshvili,David Okereke,Cyriel Dessers,3,1,Matchweek 4,4,2.0,-3.0,2.0,-3.0,6.0,0.0,6.0,0.0,21.0,8.0,1.14
32,32,32,Roma,Rui Patrício,Roger Ibanez,Bryan Cristante,Lorenzo Pellegrini,Nemanja Matić,Tammy Abraham,Zeki Çelik,Paulo Dybala,Gianluca Mancini,Marash Kumbulla,Nicola Zalewski,Monza,Michele Di Gregorio,Marlon,Luca Caldirola,Pepín,Stefano Sensi,Gianluca Caprari,Samuele Birindelli,Carlos Augusto,Matteo Pessina,Luca Marrone,Andrea Petagna,3,0,Matchweek 4,4,2.0,-6.0,2.0,-6.0,7.0,0.0,7.0,0.0,10.0,5.5,1.3
33,33,33,Sampdoria,Emil Audero,Tommaso Augello,Valerio Verre,Tomás Rincón,Abdelhamid Sabiri,Ronaldo Vieira,Omar Colley,Jeison Murillo,Bartosz Bereszyński,Fabio Quagliarella,Mehdi Léris,Lazio,Ivan Provedel,Patric,Felipe Anderson,Luis Alberto,Alessio Romagnoli,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,1,1,Matchweek 4,4,-6.0,3.0,-6.0,3.0,1.0,7.0,1.0,7.0,1.85,3.6,4.2
34,34,34,Udinese,Marco Silvestri,Adam Masina,Sandi Lovrić,Jean-Victor Makengo,Beto,Gerard Deulofeu,Walace,Destiny Udogie,Jaka Bijol,Roberto Pereyra,Rodrigo Becão,Fiorentina,Pietro Terracciano,Riccardo Saponara,Arthur Cabral,Youssef Maleh,Aleksa Terzić,Lorenzo Venuti,Lucas Martínez Quarta,Rolando Mandragora,Antonín Barák,Igor,Christian Kouamé,1,0,Matchweek 4,4,-1.0,1.0,-1.0,1.0,4.0,5.0,4.0,5.0,2.5,3.5,2.7
35,35,35,Empoli,Guglielmo Vicario,Alberto Grassi,Sam Lammers,Martin Satriano,Filippo Bandinelli,Petar Stojanović,Nicolas Haas,Sebastiano Luperto,Ardian Ismajli,Tommaso Baldanzi,Fabiano Parisi,Hellas Verona,Lorenzo Montipò,Davide Faraoni,Darko Lazović,Thomas Henry,Kevin Lasagna,Ivan Ilić,Federico Ceccherini,Martin Hongla,Paweł Dawidowicz,Diego Coppola,Adrien Tameze,1,1,Matchweek 4,4,-1.0,-4.0,-1.0,-4.0,2.0,1.0,2.0,1.0,2.7,3.3,2.62
36,36,36,Juventus,Wojciech Szczęsny,Mattia De Sciglio,Gleison Bremer,Manuel Locatelli,Danilo,Dušan Vlahović,Juan Cuadrado,Federico Gatti,Moise Kean,Fabio Miretti,Adrien Rabiot,Spezia,Bartłomiej Drągowski,Emil Holm,Mehdi Bourabia,Emmanuel Gyasi,Arkadiusz Reca,Jakub Kiwior,Petko Hristov,M'Bala Nzola,Simone Bastoni,Viktor Kovalenko,Dimitris Nikolaou,2,0,Matchweek 4,4,3.0,-2.0,3.0,-2.0,5.0,4.0,5.0,4.0,12.0,5.75,1.28
37,37,37,Napoli,Alex Meret,Kim Min-jae,Elif Elmas,Victor Osimhen,Mathías Olivera,Matteo Politano,Giovanni Di Lorenzo,Leo Skiri Østigård,Giacomo Raspadori,Tanguy Ndombele,Andre-Frank Zambo Anguissa,Lecce,Wladimiro Falcone,Federico Baschirotto,Kristoffer Askildsen,Lorenzo Colombo,Federico Di Francesco,Alessandro Tuia,Þórir Jóhann Helgason,Valentin Gendrey,Lameck Banda,Morten Hjulmand,Giuseppe Pezzella,1,1,Matchweek 4,4,7.0,-2.0,7.0,-2.0,7.0,1.0,7.0,1.0,11.0,6.25,1.25
38,38,38,Atalanta,Juan Musso,Rafael Tolói,Caleb Okoli,Teun Koopmeiners,Éderson,Marten de Roon,Merih Demiral,Davide Zappacosta,Mario Pašalić,Duván Zapata,Brandon Soppy,Torino,Vanja Milinković-Savić,Alessandro Buongiorno,Antonio Sanabria,Saša Lukić,Ricardo Rodríguez,Nikola Vlašić,Valentino Lazaro,Demba Seck,Koffi Djidji,Ola Aina,Karol Linetty,3,1,Matchweek 4,4,3.0,2.0,3.0,2.0,7.0,7.0,7.0,7.0,5.25,3.75,1.72
39,39,39,Bologna,Łukasz Skorupski,Adama Soumaoro,Nicolás Domínguez,Marko Arnautović,Nicola Sansone,Gary Medel,Jhon Lucumí,Jerdy Schouten,Denso Kasius,Andrea Cambiaso,Emanuel Vignato,Salernitana,Luigi Sepe,Dylan Bronn,Domagoj Bradarić,Federico Bonazzoli,Tonny Vilhena,Federico Fazio,Lassana Coulibaly,Norbert Gyömbér,Giulio Maggiore,Boulaye Dia,Pasquale Mazzocchi,1,1,Matchweek 4,4,-3.0,3.0,-3.0,3.0,1.0,4.0,1.0,4.0,4.33,3.6,1.85
