,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
158,Inter,André Onana,Edin Džeko,Francesco Acerbi,Hakan Çalhanoğlu,Henrikh Mkhitaryan,Nicolò Barella,Federico Dimarco,Matteo Darmian,Milan Škriniar,Romelu Lukaku,Alessandro Bastoni,Napoli,Alex Meret,Kim Min-jae,Victor Osimhen,Amir Rrahmani,Mathías Olivera,Piotr Zieliński,Matteo Politano,Giovanni Di Lorenzo,Stanislav Lobotka,Khvicha Kvaratskhelia,Andre-Frank Zambo Anguissa,1,0,Matchweek 16
159,Udinese,Marco Silvestri,Sandi Lovrić,Tolgay Arslan,Isaac Success,Beto,Walace,Destiny Udogie,Nehuén Pérez,Enzo Ebosse,Roberto Pereyra,Rodrigo Becão,Empoli,Guglielmo Vicario,Alberto Grassi,Martin Satriano,Jean-Daniel Akpa-Akpro,Răzvan Marin,Francesco Caputo,Petar Stojanović,Sebastiano Luperto,Ardian Ismajli,Tommaso Baldanzi,Fabiano Parisi,1,1,Matchweek 16
160,Fiorentina,Pietro Terracciano,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Arthur Cabral,Jonathan Ikone,Lorenzo Venuti,Alfred Duncan,Alessandro Bianco,Igor,Christian Kouamé,Sassuolo,Andrea Consigli,Rogério,Andrea Pinamonti,Domenico Berardi,Gian Marco Ferrari,Pedro Obiang,Davide Frattesi,Jeremy Toljan,Hamed Junior Traorè,Ruan,Armand Lauriente,2,1,Matchweek 17
161,Juventus,Wojciech Szczęsny,Manuel Locatelli,Danilo,Weston McKennie,Alex Sandro,Filip Kostić,Moise Kean,Fabio Miretti,Ángel Di María,Daniele Rugani,Adrien Rabiot,Udinese,Marco Silvestri,Sandi Lovrić,Jean-Victor Makengo,Isaac Success,Beto,Walace,Destiny Udogie,Nehuén Pérez,Jaka Bijol,Roberto Pereyra,Rodrigo Becão,1,0,Matchweek 17
162,Monza,Michele Di Gregorio,Pablo Marí,Marlon,Pepín,Samuele Birindelli,Carlos Augusto,Matteo Pessina,Andrea Petagna,Dany Mota,Armando Izzo,Patrick Ciurria,Inter,André Onana,Edin Džeko,Lautaro Martínez,Francesco Acerbi,Hakan Çalhanoğlu,Henrikh Mkhitaryan,Nicolò Barella,Federico Dimarco,Matteo Darmian,Milan Škriniar,Alessandro Bastoni,2,2,Matchweek 17
163,Salernitana,Guillermo Ochoa,Dylan Bronn,Domagoj Bradarić,Flavius Daniliuc,Emil Bohinen,Federico Bonazzoli,Tonny Vilhena,Federico Fazio,Boulaye Dia,Hans Nicolussi Caviglia,Antonio Candreva,Torino,Vanja Milinković-Savić,Perr Schuurs,Alessandro Buongiorno,David Zima,Antonio Sanabria,Saša Lukić,Nikola Vlašić,Valentino Lazaro,Mërgim Vojvoda,Nemanja Radonjić,Karol Linetty,1,1,Matchweek 17
164,Spezia,Bartłomiej Drągowski,Emil Holm,Ethan Ampadu,Mehdi Bourabia,Emmanuel Gyasi,Arkadiusz Reca,Jakub Kiwior,M'Bala Nzola,Simone Bastoni,Kelvin Amian,Dimitris Nikolaou,Lecce,Wladimiro Falcone,Federico Baschirotto,Lorenzo Colombo,Federico Di Francesco,Joan Gonzàlez,Valentin Gendrey,Antonino Gallo,Gabriel Strefezza,Alexis Blin,Youssef Maleh,Samuel Umtiti,0,0,Matchweek 17
165,Lazio,Ivan Provedel,Felipe Anderson,Luis Alberto,Alessio Romagnoli,Nicolò Casale,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,Empoli,Guglielmo Vicario,Alberto Grassi,Martin Satriano,Răzvan Marin,Francesco Caputo,Jacopo Fazzini,Petar Stojanović,Sebastiano Luperto,Ardian Ismajli,Tommaso Baldanzi,Fabiano Parisi,2,2,Matchweek 17
166,Sampdoria,Emil Audero,Tommaso Augello,Valerio Verre,Tomás Rincón,Sam Lammers,Ronaldo Vieira,Bram Nuytinck,Jeison Murillo,Manolo Gabbiadini,Nicola Murru,Mehdi Léris,Napoli,Alex Meret,Kim Min-jae,Juan Jesus,Mário Rui,Elif Elmas,Victor Osimhen,Matteo Politano,Giovanni Di Lorenzo,Stanislav Lobotka,Khvicha Kvaratskhelia,Andre-Frank Zambo Anguissa,0,2,Matchweek 17
167,Milan,Ciprian Tătărușanu,Davide Calabria,Ismaël Bennacer,Sandro Tonali,Olivier Giroud,Brahim Díaz,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Alexis Saelemaekers,Roma,Rui Patrício,Roger Ibanez,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Tammy Abraham,Zeki Çelik,Paulo Dybala,Nicolò Zaniolo,Gianluca Mancini,Nicola Zalewski,2,2,Matchweek 17
