,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
10,Club Brugge,Ludovic Butelle,Ricardo van Rhijn,Timmy Simons,Björn Engels,Abdoulay Diaby,José Izquierdo,Tomás Pina Isla,Hans Vanaken,Stefano Denswil,Ruud Vormer,Laurens De Bock,Leicester City,Kasper Schmeichel,Luis Hernández,Danny Drinkwater,Wes Morgan,Robert Huth,Jamie Vardy,Marc Albrighton,Daniel Amartey,Islam Slimani,Riyad Mahrez,Christian Fuchs,Group stage,0,3
11,Real Madrid,Kiko Casilla,Dani Carvajal,Sergio Ramos,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Casemiro,Luka Modrić,Sporting CP,Rui Patrício,Bryan Ruiz,Bruno César,Sebastián Coates,William Carvalho,João Pereira,Adrien Silva,Bas Dost,Marvin Zeegelaar,Rúben Semedo,Gelson Martins,Group stage,2,1
12,Legia Warsaw,Arkadiusz Malarz,Tomasz Jodłowiec,Jakub Czerwiński,Maciej Dąbrowski,Guilherme,Steeven Langil,Vadis Odjidja-Ofoe,Valeri Qazaishvili,Bartosz Bereszyński,Thibault Moulin,Aleksandar Prijović,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Mario Götze,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Christian Pulisic,Sokratis Papastathopoulos,Łukasz Piszczek,Marcel Schmelzer,Julian Weigl,Group stage,0,6
13,Leverkusen,Bernd Leno,Jonathan Tah,Javier Hernández,Lars Bender,Hakan Çalhanoğlu,Admir Mehmedi,Wendell,Julian Brandt,Ömer Toprak,Benjamin Henrichs,Kevin Kampl,CSKA Moscow,Igor Akinfeev,Mário Fernandes,Pontus Wernbloom,Sergei Ignashevich,Lacina Traoré,Alan Dzagoev,Aleksei Ionov,Aleksandr Golovin,Aleksei Berezutski,Roman Eremenko,Georgi Shchennikov,Group stage,2,2
14,Lyon,Anthony Lopes,Mapou Yanga-Mbiwa,Nicolas Nkoulou,Corentin Tolisso,Jordan Ferri,Sergi Darder,Jérémy Morel,Rafael,Maxime Gonalons,Maxwel Cornet,Maciej Rybus,Dinamo Zagreb,Adrian Šemper,Hillel Soudani,Jonas,Ante Ćorić,Paulo Machado,Junior Fernándes,Domagoj Pavičić,Josip Pivarić,Gordon Schildenfeld,Filip Benković,Petar Stojanović,Group stage,3,0
15,Juventus,Gianluigi Buffon,Giorgio Chiellini,Sami Khedira,Gonzalo Higuaín,Paulo Dybala,Andrea Barzagli,Mario Lemina,Leonardo Bonucci,Kwadwo Asamoah,Dani Alves,Patrice Evra,Sevilla,Sergio Rico,Matías Kranevitter,Vicente Iborra,Steven Nzonzi,Pablo Sarabia,Sergio Escudero,Vitolo,Nicolás Pareja,Franco Vázquez,Adil Rami,Gabriel Mercado,Group stage,0,0
16,Sporting CP,Rui Patrício,Jefferson Nascimento,Bryan Ruiz,Bruno César,Sebastián Coates,William Carvalho,João Pereira,Adrien Silva,Bas Dost,Rúben Semedo,Gelson Martins,Legia Warsaw,Arkadiusz Malarz,Tomasz Jodłowiec,Jakub Czerwiński,Guilherme,Steeven Langil,Nemanja Nikolić,Adam Hloušek,Bartosz Bereszyński,Jakub Rzeźniczak,Miroslav Radović,Thibault Moulin,Group stage,2,0
17,Leicester City,Kasper Schmeichel,Luis Hernández,Danny Drinkwater,Wes Morgan,Robert Huth,Jamie Vardy,Marc Albrighton,Daniel Amartey,Islam Slimani,Riyad Mahrez,Christian Fuchs,Porto,Iker Casillas,Iván Marcano,Óliver Torres,André Silva,Adrián López,Alex Telles,André André,Miguel Layún,Danilo Pereira,Otávio,Felipe,Group stage,1,0
18,Sevilla,Sergio Rico,Mariano,Wissam Ben Yedder,Luciano Vietto,Samir Nasri,Steven Nzonzi,Sergio Escudero,Vitolo,Nicolás Pareja,Franco Vázquez,Gabriel Mercado,Lyon,Anthony Lopes,Mapou Yanga-Mbiwa,Nicolas Nkoulou,Corentin Tolisso,Sergi Darder,Jérémy Morel,Nabil Fekir,Maxime Gonalons,Jordy Gaspar,Maxwel Cornet,Maciej Rybus,Group stage,1,0
19,Monaco,Danijel Subašić,Fabinho,Jemerson,João Moutinho,Bernardo Silva,Tiemoué Bakayoko,Valère Germain,Djibril Sidibé,Andrea Raggi,Kamil Glik,Thomas Lemar,Leverkusen,Bernd Leno,Jonathan Tah,Javier Hernández,Lars Bender,Hakan Çalhanoğlu,Julian Brandt,Charles Aránguiz,Ömer Toprak,Kevin Volland,Benjamin Henrichs,Kevin Kampl,Group stage,1,1
